,date,neg,neu,pos,compound,isReply,isRetweet,keyWords
0,2023-04-17 20:36:48+00:00,0.181,0.739,0.08,-0.6258,True,False,['Genshin Impact']
1,2023-04-17 20:25:26+00:00,0.128,0.872,0.0,-0.296,False,False,['Genshin Impact']
2,2023-04-17 20:01:11+00:00,0.0,1.0,0.0,0.0,True,False,['Genshin Impact']
3,2023-04-17 19:14:29+00:00,0.0,0.962,0.038,0.2023,False,False,['Genshin Impact']
4,2023-04-17 19:08:13+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
5,2023-04-17 18:59:03+00:00,0.132,0.769,0.099,-0.3161,True,False,['Azur Lane']
6,2023-04-17 18:49:20+00:00,0.132,0.868,0.0,-0.5423,True,False,['Genshin Impact']
7,2023-04-17 18:27:55+00:00,0.047,0.799,0.155,0.6514,False,False,['Genshin Impact']
8,2023-04-17 18:19:30+00:00,0.04,0.96,0.0,-0.2023,True,False,['Genshin Impact']
9,2023-04-17 16:58:12+00:00,0.02,0.631,0.348,0.9715,True,False,['Genshin Impact']
10,2023-04-17 16:50:35+00:00,0.1,0.827,0.074,-0.2808,False,False,['Azur Lane']
11,2023-04-17 16:34:29+00:00,0.0,0.923,0.077,0.128,True,False,['Genshin Impact']
12,2023-04-17 16:19:33+00:00,0.048,0.711,0.241,0.8779,True,False,['Genshin Impact']
13,2023-04-17 15:49:26+00:00,0.139,0.805,0.056,-0.5267,True,False,['Genshin Impact']
14,2023-04-17 15:28:47+00:00,0.057,0.852,0.092,0.3818,True,False,['Genshin Impact']
15,2023-04-17 15:22:31+00:00,0.139,0.737,0.124,-0.1531,False,False,['Genshin Impact']
16,2023-04-17 15:18:07+00:00,0.0,0.855,0.145,0.6956,True,False,['Genshin Impact']
17,2023-04-17 15:00:54+00:00,0.0,0.83,0.17,0.6486,False,False,['Genshin Impact']
18,2023-04-17 14:47:18+00:00,0.0,0.714,0.286,0.4939,True,False,['Granblue Fantasy']
19,2023-04-17 14:44:15+00:00,0.088,0.843,0.068,-0.128,True,False,[]
20,2023-04-17 14:30:54+00:00,0.054,0.782,0.164,0.7469,True,False,['Genshin Impact']
21,2023-04-17 14:24:14+00:00,0.161,0.796,0.043,-0.5514,True,False,[]
22,2023-04-17 13:54:28+00:00,0.0,0.85,0.15,0.3182,False,False,['Genshin Impact']
23,2023-04-17 13:22:14+00:00,0.083,0.728,0.189,0.5423,True,False,['Genshin Impact']
24,2023-04-17 10:40:31+00:00,0.114,0.851,0.035,-0.631,False,False,['Genshin Impact']
25,2023-04-17 10:34:46+00:00,0.163,0.837,0.0,-0.7178,False,False,['Genshin Impact']
26,2023-04-17 10:00:52+00:00,0.066,0.772,0.162,0.6819,False,False,['Genshin Impact']
27,2023-04-17 09:36:59+00:00,0.066,0.783,0.151,0.4215,True,False,[]
28,2023-04-17 09:18:55+00:00,0.074,0.805,0.121,0.2023,True,False,['Genshin Impact']
29,2023-04-17 08:27:14+00:00,0.0,1.0,0.0,0.0,True,False,[]
30,2023-04-17 07:11:17+00:00,0.0,1.0,0.0,0.0,True,False,[]
31,2023-04-17 06:15:53+00:00,0.0,0.834,0.166,0.7769,True,False,['Azur Lane']
32,2023-04-17 05:34:40+00:00,0.136,0.818,0.047,-0.6652,True,False,['Genshin Impact']
33,2023-04-17 04:50:37+00:00,0.093,0.798,0.109,-0.0258,False,False,['Genshin Impact']
34,2023-04-17 04:07:25+00:00,0.105,0.841,0.054,-0.4019,False,False,['Genshin Impact']
35,2023-04-17 04:00:24+00:00,0.127,0.873,0.0,-0.4404,True,False,['Genshin Impact']
36,2023-04-17 03:51:17+00:00,0.0,0.866,0.134,0.6249,True,False,['Genshin Impact']
37,2023-04-17 03:48:30+00:00,0.077,0.818,0.106,0.1551,False,False,['Genshin Impact']
38,2023-04-17 03:01:06+00:00,0.0,0.89,0.11,0.6239,True,False,['Genshin Impact']
39,2023-04-17 00:56:37+00:00,0.0,0.417,0.583,0.6369,False,False,['Genshin Impact']
40,2023-04-17 00:30:03+00:00,0.0,0.752,0.248,0.802,False,False,['Azur Lane']
41,2023-04-16 22:12:44+00:00,0.0,0.694,0.306,0.5473,True,False,['Genshin Impact']
42,2023-04-16 22:04:32+00:00,0.097,0.814,0.089,0.3612,False,False,['Genshin Impact']
43,2023-04-16 21:54:00+00:00,0.265,0.623,0.113,-0.5994,True,False,[]
44,2023-04-16 20:28:29+00:00,0.067,0.787,0.146,0.4019,False,False,['Genshin Impact']
45,2023-04-16 20:25:23+00:00,0.0,0.804,0.196,0.296,True,False,['Azur Lane']
46,2023-04-16 19:59:33+00:00,0.128,0.758,0.114,-0.0772,False,False,['Granblue Fantasy']
47,2023-04-16 19:06:49+00:00,0.106,0.842,0.052,-0.4019,True,False,['Genshin Impact']
48,2023-04-16 18:25:52+00:00,0.241,0.685,0.074,-0.7266,True,False,['Genshin Impact']
49,2023-04-16 18:18:13+00:00,0.181,0.665,0.154,-0.3716,False,False,['Genshin Impact']
50,2023-04-16 17:23:39+00:00,0.212,0.596,0.192,-0.0772,False,False,['Genshin Impact']
51,2023-04-16 17:19:04+00:00,0.0,0.867,0.133,0.4724,False,False,['Genshin Impact']
52,2023-04-16 16:50:57+00:00,0.21,0.719,0.071,-0.8675,True,False,['Genshin Impact']
53,2023-04-16 16:39:33+00:00,0.188,0.657,0.155,-0.0928,True,False,['Genshin Impact']
54,2023-04-16 16:08:56+00:00,0.249,0.618,0.133,-0.695,False,False,['Genshin Impact']
55,2023-04-16 16:05:56+00:00,0.261,0.658,0.081,-0.7739,True,False,['Genshin Impact']
56,2023-04-16 15:44:22+00:00,0.0,0.544,0.456,0.872,False,False,['Genshin Impact']
57,2023-04-16 15:06:56+00:00,0.0,0.877,0.123,0.6369,True,False,['Genshin Impact']
58,2023-04-16 14:56:12+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
59,2023-04-16 14:54:56+00:00,0.0,0.894,0.106,0.0772,False,False,['Genshin Impact']
60,2023-04-16 14:54:40+00:00,0.156,0.763,0.081,-0.6187,False,False,['Genshin Impact']
61,2023-04-16 14:47:31+00:00,0.0,0.833,0.167,0.34,True,False,[]
62,2023-04-16 13:52:19+00:00,0.148,0.757,0.095,-0.4019,False,False,['Genshin Impact']
63,2023-04-16 13:47:06+00:00,0.0,0.902,0.098,0.34,True,False,['Genshin Impact']
64,2023-04-16 12:59:47+00:00,0.085,0.876,0.039,-0.3619,False,False,['Genshin Impact']
65,2023-04-16 12:59:36+00:00,0.0,0.878,0.122,0.2023,False,False,['Genshin Impact']
66,2023-04-16 12:59:30+00:00,0.0,0.65,0.35,0.8225,False,False,['Genshin Impact']
67,2023-04-16 12:58:07+00:00,0.145,0.681,0.174,0.0772,True,False,['Genshin Impact']
68,2023-04-16 12:51:40+00:00,0.0,0.878,0.122,0.4939,False,False,['Genshin Impact']
69,2023-04-16 12:44:13+00:00,0.0,1.0,0.0,0.0,True,False,['Genshin Impact']
70,2023-04-16 12:29:26+00:00,0.068,0.655,0.277,0.7184,True,False,['Genshin Impact']
71,2023-04-16 12:09:20+00:00,0.193,0.704,0.103,-0.5574,False,False,['Genshin Impact']
72,2023-04-16 10:24:29+00:00,0.0,0.847,0.153,0.2023,False,False,['Azur Lane']
73,2023-04-16 09:10:35+00:00,0.0,0.817,0.183,0.8519,True,False,['Genshin Impact']
74,2023-04-16 09:03:07+00:00,0.07,0.878,0.052,-0.4404,True,False,['Genshin Impact']
75,2023-04-16 07:18:23+00:00,0.0,0.726,0.274,0.2235,True,False,[]
76,2023-04-16 07:14:41+00:00,0.0,0.89,0.11,0.2732,True,False,[]
77,2023-04-16 07:05:48+00:00,0.0,0.896,0.104,0.101,True,False,[]
78,2023-04-16 06:59:29+00:00,0.066,0.88,0.054,-0.1149,True,False,['Genshin Impact']
79,2023-04-16 06:44:19+00:00,0.277,0.723,0.0,-0.8314,False,False,['Genshin Impact']
80,2023-04-16 06:30:41+00:00,0.288,0.712,0.0,-0.7082,False,False,['Genshin Impact']
81,2023-04-16 06:29:38+00:00,0.19,0.739,0.071,-0.4215,False,False,['Genshin Impact']
82,2023-04-16 05:46:10+00:00,0.0,0.548,0.452,0.765,False,False,['Genshin Impact']
83,2023-04-16 05:21:08+00:00,0.1,0.787,0.113,0.1349,False,False,['Genshin Impact']
84,2023-04-16 04:51:08+00:00,0.301,0.699,0.0,-0.9313,False,False,['Genshin Impact']
85,2023-04-16 04:14:54+00:00,0.06,0.94,0.0,-0.1531,True,False,[]
86,2023-04-16 04:01:04+00:00,0.114,0.844,0.042,-0.4939,True,False,[]
87,2023-04-16 03:51:28+00:00,0.0,0.825,0.175,0.5588,True,False,['Genshin Impact']
88,2023-04-16 03:34:04+00:00,0.044,0.881,0.075,0.3818,True,False,['Genshin Impact']
89,2023-04-16 03:05:52+00:00,0.154,0.662,0.183,0.1781,True,False,[]
90,2023-04-16 02:40:18+00:00,0.083,0.689,0.228,0.9062,True,False,['Genshin Impact']
91,2023-04-16 02:23:13+00:00,0.0,0.738,0.262,0.4927,True,False,['Genshin Impact']
92,2023-04-16 01:58:30+00:00,0.0,0.808,0.192,0.6095,False,False,['Genshin Impact']
93,2023-04-16 01:48:09+00:00,0.066,0.89,0.044,-0.25,True,False,['Genshin Impact']
94,2023-04-16 01:02:51+00:00,0.214,0.745,0.042,-0.8345,False,False,['Genshin Impact']
95,2023-04-16 00:51:30+00:00,0.108,0.892,0.0,-0.3713,True,False,['Genshin Impact']
96,2023-04-16 00:49:01+00:00,0.066,0.619,0.315,0.8704,False,False,['Genshin Impact']
97,2023-04-16 00:25:04+00:00,0.0,0.934,0.066,0.4404,False,False,['Genshin Impact']
98,2023-04-16 00:18:50+00:00,0.121,0.879,0.0,-0.4404,True,False,['Genshin Impact']
99,2023-04-16 00:07:52+00:00,0.0,0.804,0.196,0.8585,True,False,['Genshin Impact']
100,2023-04-15 22:45:12+00:00,0.0,0.769,0.231,0.93,True,False,['Genshin Impact']
101,2023-04-15 22:37:05+00:00,0.0,0.667,0.333,0.7178,True,False,['Genshin Impact']
102,2023-04-15 21:53:12+00:00,0.0,0.756,0.244,0.4404,True,False,['Raid Shadow Legends']
103,2023-04-15 20:49:29+00:00,0.177,0.823,0.0,-0.5319,True,False,['Genshin Impact']
104,2023-04-15 20:43:48+00:00,0.0,1.0,0.0,0.0,True,False,['Genshin Impact']
105,2023-04-15 20:26:37+00:00,0.081,0.919,0.0,-0.4879,True,False,['Genshin Impact']
106,2023-04-15 20:09:53+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
107,2023-04-15 20:09:01+00:00,0.0,0.388,0.612,0.743,True,False,[]
108,2023-04-15 20:07:52+00:00,0.167,0.735,0.098,-0.4005,True,False,['Genshin Impact']
109,2023-04-15 20:04:52+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
110,2023-04-15 19:41:23+00:00,0.08,0.783,0.137,0.4404,False,False,['Genshin Impact']
111,2023-04-15 18:53:52+00:00,0.0,0.81,0.19,0.8591,True,False,['Genshin Impact']
112,2023-04-15 18:07:03+00:00,0.0,0.786,0.214,0.5994,False,False,['Genshin Impact']
113,2023-04-15 18:05:24+00:00,0.112,0.833,0.054,-0.4201,True,False,['Genshin Impact']
114,2023-04-15 17:20:51+00:00,0.093,0.831,0.076,-0.1779,False,False,['Genshin Impact']
115,2023-04-15 17:13:13+00:00,0.15,0.85,0.0,-0.7351,False,False,['Genshin Impact']
116,2023-04-15 16:55:35+00:00,0.079,0.698,0.223,0.5478,False,False,['Genshin Impact']
117,2023-04-15 16:07:42+00:00,0.0,0.786,0.214,0.7003,True,False,['Genshin Impact']
118,2023-04-15 15:44:41+00:00,0.135,0.631,0.234,0.296,True,False,['Genshin Impact']
119,2023-04-15 15:17:10+00:00,0.0,0.769,0.231,0.34,False,False,['Genshin Impact']
120,2023-04-15 14:36:34+00:00,0.0,0.825,0.175,0.8271,True,False,['Genshin Impact']
121,2023-04-15 14:35:53+00:00,0.124,0.777,0.098,0.0,True,False,['Genshin Impact']
122,2023-04-15 14:35:20+00:00,0.109,0.794,0.097,0.0772,False,False,['Genshin Impact']
123,2023-04-15 14:34:29+00:00,0.116,0.742,0.142,-0.2799,True,False,['Genshin Impact']
124,2023-04-15 14:29:46+00:00,0.0,0.802,0.198,0.4939,True,False,['Genshin Impact']
125,2023-04-15 14:28:51+00:00,0.0,0.953,0.047,0.3182,True,False,['Genshin Impact']
126,2023-04-15 14:16:04+00:00,0.053,0.947,0.0,-0.1027,True,False,['Genshin Impact']
127,2023-04-15 14:10:43+00:00,0.0,0.798,0.202,0.5106,False,False,['Genshin Impact']
128,2023-04-15 14:06:59+00:00,0.35,0.65,0.0,-0.8948,False,False,['Genshin Impact']
129,2023-04-15 13:46:02+00:00,0.064,0.822,0.114,0.4956,False,False,['Genshin Impact']
130,2023-04-15 13:43:24+00:00,0.055,0.795,0.151,0.594,True,False,['Genshin Impact']
131,2023-04-15 12:53:31+00:00,0.173,0.827,0.0,-0.5878,True,False,['Genshin Impact']
132,2023-04-15 12:18:15+00:00,0.0,0.714,0.286,0.6815,False,False,['Genshin Impact']
133,2023-04-15 12:11:29+00:00,0.0,0.773,0.227,0.802,True,False,['Genshin Impact']
134,2023-04-15 11:55:16+00:00,0.343,0.657,0.0,-0.8555,False,False,['Genshin Impact']
135,2023-04-15 10:48:51+00:00,0.088,0.912,0.0,-0.3818,True,False,['Genshin Impact']
136,2023-04-15 10:25:10+00:00,0.0,1.0,0.0,0.0,True,False,[]
137,2023-04-15 09:08:36+00:00,0.286,0.714,0.0,-0.5574,True,False,['Genshin Impact']
138,2023-04-15 07:22:22+00:00,0.0,0.805,0.195,0.4804,False,False,['Genshin Impact']
139,2023-04-15 07:01:03+00:00,0.049,0.951,0.0,-0.1027,False,False,['Granblue Fantasy']
140,2023-04-15 06:23:07+00:00,0.091,0.909,0.0,-0.5095,False,False,['Genshin Impact']
141,2023-04-15 05:37:44+00:00,0.0,0.688,0.312,0.9408,True,False,['Genshin Impact']
142,2023-04-15 05:01:09+00:00,0.153,0.685,0.161,-0.2023,False,False,['Genshin Impact']
143,2023-04-15 04:32:19+00:00,0.06,0.805,0.135,0.6794,True,False,"['Genshin Impact', 'Granblue Fantasy']"
144,2023-04-15 04:22:09+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
145,2023-04-15 03:52:30+00:00,0.042,0.672,0.286,0.795,True,False,['Genshin Impact']
146,2023-04-15 03:24:40+00:00,0.235,0.666,0.099,-0.8635,False,False,['Genshin Impact']
147,2023-04-15 03:12:56+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
148,2023-04-15 02:49:33+00:00,0.215,0.543,0.242,0.0176,True,False,['Azur Lane']
149,2023-04-15 02:32:29+00:00,0.138,0.862,0.0,-0.34,True,False,['Genshin Impact']
150,2023-04-15 02:30:07+00:00,0.0,0.721,0.279,0.7345,True,False,['Genshin Impact']
151,2023-04-15 02:10:21+00:00,0.0,0.945,0.055,0.4574,True,False,"['Genshin Impact', 'Fire Emblem Heroes']"
152,2023-04-15 01:54:27+00:00,0.186,0.766,0.048,-0.8503,True,False,['Genshin Impact']
153,2023-04-15 01:47:15+00:00,0.054,0.588,0.358,0.7713,False,False,['Genshin Impact']
154,2023-04-15 01:34:28+00:00,0.1,0.75,0.15,0.296,True,False,['Genshin Impact']
155,2023-04-15 01:30:34+00:00,0.0,0.506,0.494,0.5994,False,False,['Genshin Impact']
156,2023-04-15 00:32:25+00:00,0.115,0.818,0.067,-0.3182,False,False,['Genshin Impact']
157,2023-04-15 00:25:47+00:00,0.077,0.872,0.05,-0.3377,False,False,['Granblue Fantasy']
158,2023-04-15 00:25:33+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
159,2023-04-15 00:14:08+00:00,0.084,0.734,0.182,0.5584,False,False,['Genshin Impact']
160,2023-04-14 23:45:51+00:00,0.2,0.647,0.153,-0.2577,True,False,['Genshin Impact']
161,2023-04-14 23:26:43+00:00,0.0,0.92,0.08,0.0772,False,False,['Genshin Impact']
162,2023-04-14 23:11:11+00:00,0.306,0.515,0.179,-0.498,True,False,['Genshin Impact']
163,2023-04-14 22:46:32+00:00,0.0,0.535,0.465,0.9386,True,False,['Genshin Impact']
164,2023-04-14 22:13:42+00:00,0.0,0.808,0.192,0.9204,True,False,['Genshin Impact']
165,2023-04-14 21:58:47+00:00,0.0,0.835,0.165,0.8192,False,False,['Genshin Impact']
166,2023-04-14 21:47:00+00:00,0.0,0.923,0.077,0.504,True,False,['Genshin Impact']
167,2023-04-14 21:03:09+00:00,0.0,0.544,0.456,0.872,True,False,['Genshin Impact']
168,2023-04-14 20:58:04+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
169,2023-04-14 19:56:43+00:00,0.093,0.503,0.404,0.8858,True,False,['Genshin Impact']
170,2023-04-14 19:42:55+00:00,0.0,0.542,0.458,0.9366,True,False,[]
171,2023-04-14 19:30:13+00:00,0.107,0.839,0.054,-0.5749,True,False,['Genshin Impact']
172,2023-04-14 18:48:36+00:00,0.0,0.903,0.097,0.3089,True,False,['Genshin Impact']
173,2023-04-14 18:17:13+00:00,0.0,0.817,0.183,0.7717,True,False,['Genshin Impact']
174,2023-04-14 18:16:24+00:00,0.0,0.739,0.261,0.5574,True,False,['Genshin Impact']
175,2023-04-14 17:49:54+00:00,0.158,0.842,0.0,-0.4588,True,False,[]
176,2023-04-14 17:38:07+00:00,0.081,0.919,0.0,-0.296,True,False,['Genshin Impact']
177,2023-04-14 17:27:00+00:00,0.0,1.0,0.0,0.0,False,False,['Genshin Impact']
178,2023-04-14 16:59:56+00:00,0.0,0.906,0.094,0.4572,False,False,['Genshin Impact']
179,2023-04-14 16:29:32+00:00,0.0,0.917,0.083,0.2263,True,False,['Genshin Impact']
180,2023-04-14 16:01:07+00:00,0.051,0.833,0.116,0.4215,True,False,['Genshin Impact']
181,2023-04-14 16:00:56+00:00,0.0,0.45,0.55,0.9042,True,False,['Azur Lane']
182,2023-04-14 15:56:24+00:00,0.0,1.0,0.0,0.0,True,False,['Genshin Impact']
183,2023-04-14 15:52:10+00:00,0.167,0.731,0.102,-0.5458,False,False,['Genshin Impact']
184,2023-04-14 15:48:15+00:00,0.021,0.866,0.113,0.729,True,False,['Genshin Impact']
185,2023-04-14 15:22:32+00:00,0.109,0.891,0.0,-0.1511,False,False,['Genshin Impact']
186,2023-04-14 15:17:21+00:00,0.266,0.604,0.13,-0.6705,True,False,['Genshin Impact']
187,2023-04-14 15:09:29+00:00,0.209,0.709,0.082,-0.5256,True,False,['Genshin Impact']
188,2023-04-14 14:29:25+00:00,0.0,0.598,0.402,0.8555,True,False,['Genshin Impact']
189,2023-04-14 14:22:01+00:00,0.0,0.556,0.444,0.8016,False,False,['Genshin Impact']
190,2023-04-14 13:38:03+00:00,0.085,0.654,0.261,0.891,True,False,['Genshin Impact']
191,2023-04-14 13:35:00+00:00,0.0,0.709,0.291,0.9171,False,False,['Genshin Impact']
192,2023-04-14 12:42:05+00:00,0.12,0.826,0.054,-0.5423,False,False,['Genshin Impact']
193,2023-04-14 12:28:54+00:00,0.0,0.678,0.322,0.8429,False,False,['Genshin Impact']
194,2023-04-14 12:25:07+00:00,0.0,1.0,0.0,0.0,True,False,[]
195,2023-04-14 11:53:58+00:00,0.0,0.679,0.321,0.6369,False,False,['Genshin Impact']
196,2023-04-14 11:49:21+00:00,0.0,1.0,0.0,0.0,True,False,['Granblue Fantasy']
197,2023-04-14 11:42:48+00:00,0.0,0.9,0.1,0.4588,False,False,['Genshin Impact']
198,2023-04-14 10:50:54+00:00,0.0,0.872,0.128,0.6448,True,False,['Azur Lane']
199,2023-04-14 10:23:42+00:00,0.086,0.766,0.147,0.2933,False,False,['Genshin Impact']
200,2023-04-14 09:59:12+00:00,0.106,0.745,0.149,0.2023,True,False,['Azur Lane']
