,localId,neg,neu,pos,acc,date
0,0,0.0,0.949,0.051,0.0772,2023-04-16 16:01:58+00:00
1,1,0.102,0.741,0.157,0.3612,2023-04-16 16:01:22+00:00
2,2,0.0,0.488,0.512,0.6369,2023-04-16 16:00:53+00:00
3,3,0.0,0.917,0.083,0.2263,2023-04-16 15:59:38+00:00
4,4,0.0,1.0,0.0,0.0,2023-04-16 15:59:23+00:00
5,5,0.0,1.0,0.0,0.0,2023-04-16 15:59:11+00:00
6,6,0.0,0.568,0.432,0.9744,2023-04-16 15:59:10+00:00
7,7,0.134,0.776,0.089,-0.2263,2023-04-16 15:58:41+00:00
8,8,0.0,0.805,0.195,0.8286,2023-04-16 15:58:03+00:00
9,9,0.14,0.728,0.132,0.1477,2023-04-16 15:56:53+00:00
10,10,0.0,1.0,0.0,0.0,2023-04-16 15:55:27+00:00
11,11,0.0,0.795,0.205,0.8286,2023-04-16 15:52:47+00:00
12,12,0.0,0.829,0.171,0.5106,2023-04-16 15:51:17+00:00
13,13,0.0,0.783,0.217,0.5574,2023-04-16 15:50:04+00:00
14,14,0.0,0.784,0.216,0.5106,2023-04-16 15:48:28+00:00
15,15,0.0,0.92,0.08,0.4215,2023-04-16 15:46:47+00:00
16,16,0.098,0.902,0.0,-0.2924,2023-04-16 15:45:33+00:00
17,17,0.0,1.0,0.0,0.0,2023-04-16 15:45:07+00:00
18,18,0.0,0.568,0.432,0.9744,2023-04-16 15:45:06+00:00
19,19,0.0,0.791,0.209,0.8374,2023-04-16 15:44:40+00:00
20,20,0.0,0.885,0.115,0.6166,2023-04-16 15:44:20+00:00
21,21,0.0,0.879,0.121,0.4648,2023-04-16 15:41:45+00:00
22,22,0.0,0.861,0.139,0.5267,2023-04-16 15:40:39+00:00
23,23,0.085,0.915,0.0,-0.6652,2023-04-16 15:39:51+00:00
24,24,0.0,1.0,0.0,0.0,2023-04-16 15:39:16+00:00
25,25,0.0,1.0,0.0,0.0,2023-04-16 15:37:57+00:00
26,26,0.0,0.8,0.2,0.8286,2023-04-16 15:36:59+00:00
27,27,0.0,1.0,0.0,0.0,2023-04-16 15:36:12+00:00
28,28,0.0,0.851,0.149,0.7662,2023-04-16 15:33:49+00:00
29,29,0.142,0.727,0.131,-0.1531,2023-04-16 15:32:13+00:00
30,30,0.0,1.0,0.0,0.0,2023-04-16 15:30:35+00:00
31,31,0.0,0.568,0.432,0.9744,2023-04-16 15:30:34+00:00
32,32,0.111,0.627,0.262,0.4767,2023-04-16 15:27:11+00:00
33,33,0.0,0.921,0.079,0.4404,2023-04-16 15:25:59+00:00
34,34,0.0,0.885,0.115,0.6166,2023-04-16 15:24:18+00:00
35,35,0.092,0.758,0.15,0.3527,2023-04-16 15:24:07+00:00
36,36,0.0,1.0,0.0,0.0,2023-04-16 15:23:59+00:00
37,37,0.0,1.0,0.0,0.0,2023-04-16 15:19:47+00:00
38,38,0.0,0.937,0.063,0.2732,2023-04-16 15:16:05+00:00
39,39,0.0,0.742,0.258,0.91,2023-04-16 15:15:12+00:00
40,40,0.0,1.0,0.0,0.0,2023-04-16 15:14:59+00:00
41,41,0.0,1.0,0.0,0.0,2023-04-16 15:14:05+00:00
42,42,0.0,1.0,0.0,0.0,2023-04-16 15:13:26+00:00
43,43,0.15,0.85,0.0,-0.3182,2023-04-16 15:13:07+00:00
44,44,0.158,0.656,0.187,0.2846,2023-04-16 15:12:21+00:00
45,45,0.0,1.0,0.0,0.0,2023-04-16 15:11:47+00:00
46,46,0.066,0.818,0.116,0.296,2023-04-16 15:11:25+00:00
47,47,0.0,0.905,0.095,0.6369,2023-04-16 15:07:24+00:00
48,48,0.0,0.762,0.238,0.9201,2023-04-16 15:04:31+00:00
49,49,0.0,0.915,0.085,0.2023,2023-04-16 15:03:03+00:00
50,50,0.324,0.483,0.193,-0.4404,2023-04-16 15:00:50+00:00
51,51,0.0,0.772,0.228,0.5499,2023-04-16 15:00:07+00:00
52,52,0.109,0.617,0.273,0.8145,2023-04-16 14:58:45+00:00
53,53,0.032,0.794,0.174,0.8462,2023-04-16 14:58:21+00:00
54,54,0.0,1.0,0.0,0.0,2023-04-16 14:56:58+00:00
55,55,0.0,0.695,0.305,0.7845,2023-04-16 14:56:53+00:00
56,56,0.055,0.622,0.322,0.8571,2023-04-16 14:56:41+00:00
57,57,0.033,0.856,0.112,0.6428,2023-04-16 14:56:00+00:00
58,58,0.0,0.914,0.086,0.4404,2023-04-16 14:55:56+00:00
59,59,0.239,0.562,0.199,-0.5106,2023-04-16 14:55:38+00:00
60,60,0.379,0.327,0.294,-0.2577,2023-04-16 14:55:36+00:00
61,61,0.0,0.734,0.266,0.8893,2023-04-16 14:53:36+00:00
62,62,0.0,0.878,0.122,0.6166,2023-04-16 14:52:56+00:00
63,63,0.042,0.958,0.0,-0.1511,2023-04-16 14:50:41+00:00
64,64,0.062,0.624,0.313,0.9459,2023-04-16 14:48:38+00:00
65,65,0.0,0.789,0.211,0.8286,2023-04-16 14:46:36+00:00
66,66,0.04,0.875,0.085,0.2023,2023-04-16 14:46:13+00:00
67,67,0.0,1.0,0.0,0.0,2023-04-16 14:43:32+00:00
68,68,0.036,0.709,0.255,0.9169,2023-04-16 14:32:23+00:00
69,69,0.0,0.767,0.233,0.8866,2023-04-16 14:30:00+00:00
70,70,0.08,0.689,0.231,0.6326,2023-04-16 14:22:36+00:00
71,71,0.061,0.736,0.203,0.7745,2023-04-16 14:22:31+00:00
72,72,0.0,0.728,0.272,0.6808,2023-04-16 14:20:57+00:00
73,73,0.0,0.881,0.119,0.6166,2023-04-16 14:20:31+00:00
74,74,0.123,0.837,0.04,-0.5859,2023-04-16 14:20:20+00:00
75,75,0.0,0.795,0.205,0.8286,2023-04-16 14:14:51+00:00
76,76,0.0,0.784,0.216,0.8286,2023-04-16 14:14:31+00:00
77,77,0.194,0.806,0.0,-0.5574,2023-04-16 14:13:29+00:00
78,78,0.0,1.0,0.0,0.0,2023-04-16 14:07:50+00:00
79,79,0.0,0.795,0.205,0.8286,2023-04-16 14:06:31+00:00
80,80,0.161,0.716,0.123,-0.3542,2023-04-16 14:03:48+00:00
81,81,0.0,0.693,0.307,0.7351,2023-04-16 14:03:15+00:00
82,82,0.0,0.814,0.186,0.7269,2023-04-16 14:03:08+00:00
83,83,0.0,0.872,0.128,0.3612,2023-04-16 14:01:46+00:00
84,84,0.053,0.947,0.0,-0.296,2023-04-16 13:58:16+00:00
85,85,0.0,0.546,0.454,0.8463,2023-04-16 13:52:06+00:00
86,86,0.0,1.0,0.0,0.0,2023-04-16 13:51:21+00:00
87,87,0.0,0.798,0.202,0.7804,2023-04-16 13:47:37+00:00
88,88,0.081,0.846,0.073,-0.1027,2023-04-16 13:45:46+00:00
89,89,0.165,0.722,0.113,-0.4215,2023-04-16 13:43:36+00:00
90,90,0.0,0.874,0.126,0.6166,2023-04-16 13:41:56+00:00
91,91,0.0,0.795,0.205,0.8286,2023-04-16 13:30:56+00:00
92,92,0.0,1.0,0.0,0.0,2023-04-16 13:27:25+00:00
93,93,0.0,0.885,0.115,0.6166,2023-04-16 13:22:15+00:00
94,94,0.184,0.816,0.0,-0.2023,2023-04-16 13:17:10+00:00
95,95,0.0,0.878,0.122,0.6166,2023-04-16 13:12:55+00:00
96,96,0.0,0.797,0.203,0.6808,2023-04-16 13:08:36+00:00
97,97,0.0,0.878,0.122,0.6166,2023-04-16 13:08:34+00:00
98,98,0.0,0.852,0.148,0.7096,2023-04-16 13:07:07+00:00
99,99,0.0,0.947,0.053,0.1027,2023-04-16 13:05:05+00:00
